user_id,history_item_title,item_title,history_item_id,item_id,history_item_sid,item_sid
A4771,"['Argos Technologies B3125-50 Basins, 25 mL, White (Pack of 50)', '3Doodler Start Emoji & Symbol DoodleBlock Kit with 2 Plastic Packs, (3D Pen not Included)', 'Star brite Outdoor Furniture Cleaner (51932) All-Surface Cleaner Spray - 32 oz', 'Bel-Art Labmat Bench Liner; 50 Feet, White (F24675-0000)']","Bertech Double Sided White PE Foam Tape, 1/16"" Thick, 3/4"" Wide x 36 Yards Long, White","[1644, 1688, 1710, 1289]",2796,"['<a_125><b_53><c_18>', '<a_220><b_36><c_55>', '<a_53><b_247><c_173>', '<a_79><b_173><c_176>']",<a_65><b_92><c_26>
A5417,"['HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Transparent Red', ""Fluorostore F015084 - 10 Metric PTFE Tubing, 2mm ID x 4mm OD, 10' Length, Semi-Transparent"", 'eSUN 1.75mm Gray ABS 3D Printer filament 1kg Spool (2.2lbs), Gray', '3M 468MP Adhesive Transfer Tape, 4"" width x 5yd length (1 roll)', 'Micro Swiss MK10 All Metal Hotend Kit .4mm Nozzle WANHAO, FlashForge, Dremel Idea Builder']",Model A MagHold Magnetic Build System for Pre 2016 FF Creator / Qidi / Makerbot Replicator / CTC CN22,"[2883, 2856, 3049, 2319, 1972]",2229,"['<a_18><b_233><c_94><d_3>', '<a_37><b_96><c_172><d_2>', '<a_34><b_207><c_2>', '<a_230><b_4><c_63>', '<a_233><b_219><c_31>']",<a_73><b_80><c_224>
A5447,"['Etekcity Lasergrip 774 Non-contact Digital Laser Infrared Thermometer Temperature Gun -58~ 716 (-50 ~ 380), Yellow and Black', 'BuildTak 3D Printing Build Surface, 6.5"" x 6.5"" Square, Black (Pack of 3)', 'XYZprinting PLA Filament Cartridge, 1.75 mm Diameter, 600g, Nature', 'XYZprinting RFPLCXUS00B da Vinci Jr. & mini Series Filament, PLA (NFC), 600 g, Nature', 'iXCC Basic Series PLA 3D Printer Filament 1.75mm Diameter (Dimensional Accuracy +/- 0.05mm) - 1kg Spool (Approximately 2.2 lbs) [Red]', 'Inland 1.75mm Yellow PLA 3D Printer Filament - 1kg Spool (2.2 lbs)', 'Gizmo Dorks 1.75mm PLA Filament 1kg / 2.2lb for 3D Printers, Translucent Pink', '3D Solutech Natural Clear 1.75mm 3D Printer PLA Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)']",Model A MagHold Magnetic Build System for Pre 2016 FF Creator / Qidi / Makerbot Replicator / CTC CN22,"[133, 2835, 2682, 2155, 3018, 2376, 2893, 1701]",2229,"['<a_54><b_2><c_246>', '<a_4><b_28><c_62><d_4>', '<a_252><b_134><c_73>', '<a_135><b_111><c_1>', '<a_201><b_5><c_153>', '<a_70><b_196><c_167>', '<a_142><b_163><c_181><d_4>', '<a_249><b_24><c_164>']",<a_73><b_80><c_224>
A5800,"['Uxcell Toggle Switch (10 Piece)', 'Electronics-Salon 100 to 1M ohm 3296 Multiturn Trimmer Potentiometers Kit', 'Electronics-Salon 30 Types 74HCxx Series Logic IC Assortment Kit, High-Speed Si-Gate CMOS IC.', 'Glarks 122Pcs 2.54mm Pitch DIP IC Sockets Solder Type Adaptor Assortment Kit (6/8/14/16/18/24/28/40 Pins)', 'Uxcell a14050500ux0216 HC-49S DIP Quartz Crystal Oscillator, 16 MHz, 16.000 MHz, 10 Piece']","3D Solutech Real Orange 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)","[1385, 2477, 2479, 1749, 2924]",2869,"['<a_6><b_67><c_116>', '<a_103><b_253><c_249>', '<a_178><b_170><c_137>', '<a_178><b_76><c_230>', '<a_244><b_136><c_35>']",<a_249><b_29><c_14><d_3>
A5894,"['HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue', 'HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White', 'Inland 1.75mm Yellow PLA 3D Printer Filament - 1kg Spool (2.2 lbs)']","eSUN 3D Printer CLEANING Filament 1.75mm Natural 0.1kg for all 1.75mm FDM 3D Printers, 1.75mm Cleaning","[1480, 44, 304, 2376]",1819,"['<a_247><b_233><c_94><d_1>', '<a_247><b_12><c_204>', '<a_18><b_217><c_190>', '<a_70><b_196><c_167>']",<a_135><b_209><c_124>
A5894,"['HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue', 'HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White', 'Inland 1.75mm Yellow PLA 3D Printer Filament - 1kg Spool (2.2 lbs)', 'eSUN 3D Printer CLEANING Filament 1.75mm Natural 0.1kg for all 1.75mm FDM 3D Printers, 1.75mm Cleaning']",Signstek 3D Printer MK2 MK3 Heated Bed Tempered Borosilicate Glass Plate 213x200x3mm,"[1480, 44, 304, 2376, 1819]",1690,"['<a_247><b_233><c_94><d_1>', '<a_247><b_12><c_204>', '<a_18><b_217><c_190>', '<a_70><b_196><c_167>', '<a_135><b_209><c_124>']",<a_110><b_199><c_141>
A5894,"['HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue', 'HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White', 'Inland 1.75mm Yellow PLA 3D Printer Filament - 1kg Spool (2.2 lbs)', 'eSUN 3D Printer CLEANING Filament 1.75mm Natural 0.1kg for all 1.75mm FDM 3D Printers, 1.75mm Cleaning', 'Signstek 3D Printer MK2 MK3 Heated Bed Tempered Borosilicate Glass Plate 213x200x3mm']",Hilitchi 210pcs M3 Stainless Steel Hex Socket Head Cap Screws Nuts Assortment Kit with Box (M3),"[1480, 44, 304, 2376, 1819, 1690]",2191,"['<a_247><b_233><c_94><d_1>', '<a_247><b_12><c_204>', '<a_18><b_217><c_190>', '<a_70><b_196><c_167>', '<a_135><b_209><c_124>', '<a_110><b_199><c_141>']",<a_98><b_224><c_73>
A5894,"['HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue', 'HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White', 'Inland 1.75mm Yellow PLA 3D Printer Filament - 1kg Spool (2.2 lbs)', 'eSUN 3D Printer CLEANING Filament 1.75mm Natural 0.1kg for all 1.75mm FDM 3D Printers, 1.75mm Cleaning', 'Signstek 3D Printer MK2 MK3 Heated Bed Tempered Borosilicate Glass Plate 213x200x3mm', 'Hilitchi 210pcs M3 Stainless Steel Hex Socket Head Cap Screws Nuts Assortment Kit with Box (M3)']",PTFE Teflon Bowden Tube for 1.75 Filament (2.0mm ID/4.0mm OD) &ndash; White Connector Tubing for 3D Printer - 2.0 Meters,"[1480, 44, 304, 2376, 1819, 1690, 2191]",2188,"['<a_247><b_233><c_94><d_1>', '<a_247><b_12><c_204>', '<a_18><b_217><c_190>', '<a_70><b_196><c_167>', '<a_135><b_209><c_124>', '<a_110><b_199><c_141>', '<a_98><b_224><c_73>']",<a_195><b_237><c_21><d_1>
A5894,"['HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue', 'HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White', 'Inland 1.75mm Yellow PLA 3D Printer Filament - 1kg Spool (2.2 lbs)', 'eSUN 3D Printer CLEANING Filament 1.75mm Natural 0.1kg for all 1.75mm FDM 3D Printers, 1.75mm Cleaning', 'Signstek 3D Printer MK2 MK3 Heated Bed Tempered Borosilicate Glass Plate 213x200x3mm', 'Hilitchi 210pcs M3 Stainless Steel Hex Socket Head Cap Screws Nuts Assortment Kit with Box (M3)', 'PTFE Teflon Bowden Tube for 1.75 Filament (2.0mm ID/4.0mm OD) &ndash; White Connector Tubing for 3D Printer - 2.0 Meters']",Hilitchi 800pcs 10-24 A.W.G Wire Copper Crimp Connector Insulated Cord Pin End Terminal Kit,"[1480, 44, 304, 2376, 1819, 1690, 2191, 2188]",1877,"['<a_247><b_233><c_94><d_1>', '<a_247><b_12><c_204>', '<a_18><b_217><c_190>', '<a_70><b_196><c_167>', '<a_135><b_209><c_124>', '<a_110><b_199><c_141>', '<a_98><b_224><c_73>', '<a_195><b_237><c_21><d_1>']",<a_81><b_32><c_207>
A5894,"['HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue', 'HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White', 'Inland 1.75mm Yellow PLA 3D Printer Filament - 1kg Spool (2.2 lbs)', 'eSUN 3D Printer CLEANING Filament 1.75mm Natural 0.1kg for all 1.75mm FDM 3D Printers, 1.75mm Cleaning', 'Signstek 3D Printer MK2 MK3 Heated Bed Tempered Borosilicate Glass Plate 213x200x3mm', 'Hilitchi 210pcs M3 Stainless Steel Hex Socket Head Cap Screws Nuts Assortment Kit with Box (M3)', 'PTFE Teflon Bowden Tube for 1.75 Filament (2.0mm ID/4.0mm OD) &ndash; White Connector Tubing for 3D Printer - 2.0 Meters', 'Hilitchi 800pcs 10-24 A.W.G Wire Copper Crimp Connector Insulated Cord Pin End Terminal Kit']",55pcs 6 Pin DPDT Self-locking Power Micro Push Button Switches 7mmx7mm,"[1480, 44, 304, 2376, 1819, 1690, 2191, 2188, 1877]",1520,"['<a_247><b_233><c_94><d_1>', '<a_247><b_12><c_204>', '<a_18><b_217><c_190>', '<a_70><b_196><c_167>', '<a_135><b_209><c_124>', '<a_110><b_199><c_141>', '<a_98><b_224><c_73>', '<a_195><b_237><c_21><d_1>', '<a_81><b_32><c_207>']",<a_156><b_103><c_74>
